State,StateAbbr,2008,2009,2010,2011,2012,2013
ALABAMA,AL,5,9.7,9.2,8.5,7.1,6.5
ALASKA,AK,6.4,7.7,8,7.6,6.9,6.5
ARIZONA,AZ,6,9.8,10.4,9.4,8.3,8
ARKANSAS,AR,5.4,7.5,7.9,8,7.5,7.5
CALIFORNIA,CA,7.2,11.3,12.4,11.8,10.4,8.9
COLORADO,CO,4.8,8.1,9,8.5,7.8,6.8
CONNECTICUT,CT,5.6,8.2,9.3,8.9,8.3,7.8
DELAWARE,DE,4.9,7.9,8,7.4,7.1,6.7
DISTRICT OF COLUMBIA,DC,6.6,9.7,10.1,10.2,9.1,8.3
FLORIDA,FL,6.3,10.4,11.3,10.3,8.8,7.2
GEORGIA,GA,6.3,9.7,10.2,9.9,9,8.2
HAWAII,HI,4.1,6.8,6.7,6.5,5.7,4.8
IDAHO,ID,4.8,7.4,8.7,8.4,7.3,6.2
ILLINOIS,IL,6.4,10,10.5,9.7,8.9,9.2
INDIANA,IN,5.8,10.3,10,8.8,8.1,7.5
IOWA,IA,4,6.3,6.3,5.8,5.2,4.6
KANSAS,KS,4.4,7.1,7.1,6.5,5.8,5.4
KENTUCKY,KY,6.6,10.3,10.2,9.5,8.3,8.3
LOUISIANA,LA,4.4,6.6,7.4,7.2,6.5,6.2
MAINE,ME,5.4,8.1,8.2,7.7,7.2,6.7
MARYLAND,MD,4.3,7.4,7.9,7.3,6.9,6.6
MASSACHUSETTS,MA,5.3,8.2,8.3,7.3,6.8,7.1
MICHIGAN,MI,8.3,13.5,12.7,10.4,9.1,8.8
MINNESOTA,MN,5.4,8,7.4,6.5,5.6,5.1
MISSISSIPPI,MS,6.8,9.5,10.6,10.6,9.2,8.6
MISSOURI,MO,5.9,9.4,9.3,8.5,7,6.5
MONTANA,MT,4.5,6,6.7,6.5,6,5.6
NEBRASKA,NE,3.3,4.7,4.7,4.5,4,3.9
NEVADA,NV,7.1,11.7,13.8,13.2,11.5,9.8
NEW HAMPSHIRE,NH,3.9,6.2,6.2,5.5,5.5,5.3
NEW JERSEY,NJ,5.5,9,9.6,9.3,9.3,8.2
NEW MEXICO,NM,4.5,6.9,8,7.6,7.1,6.9
NEW YORK,NY,5.4,8.3,8.6,8.2,8.5,7.7
NORTH CAROLINA,NC,6.3,10.4,10.8,10.2,9.2,8
NORTH DAKOTA,ND,3.1,4.1,3.8,3.4,3,2.9
OHIO,OH,6.6,10.2,10,8.7,7.4,7.4
OKLAHOMA,OK,3.7,6.7,6.9,5.9,5.4,5.4
OREGON,OR,6.5,11.1,10.8,9.7,8.8,7.7
PENNSYLVANIA,PA,5.3,7.9,8.5,8,7.9,7.4
RHODE ISLAND,RI,7.7,10.9,11.7,11.2,10.3,9.5
SOUTH CAROLINA,SC,6.8,11.4,11.1,10.3,9,7.6
SOUTH DAKOTA,SD,3,5.2,5.1,4.7,4.2,3.8
TENNESSEE,TN,6.6,10.6,9.9,9.3,8.2,8.2
TEXAS,TX,4.9,7.5,8.2,7.9,6.8,6.3
UTAH,UT,3.3,7.8,8.1,6.8,5.4,4.4
VERMONT,VT,4.5,6.9,6.4,5.6,4.9,4.4
VIRGINIA,VA,4,7,7.1,6.4,5.9,5.5
WASHINGTON,WA,5.4,9.3,9.9,9.2,8.1,7
WEST VIRGINIA,WV,4.2,7.6,8.5,7.8,7.2,6.5
WISCONSIN,WI,4.8,8.7,8.5,7.5,6.9,6.7
WYOMING,WY,3.1,6.3,7,6.1,5.4,4.6
